Age,Gender,Course,Year,Marital Status,Grade,How often have you felt down or hopeless?,"How often have you had trouble falling or staying asleep, or slept too much?",How often have you felt tired or had little energy?,"How often have you felt nervous, anxious, or on edge?",How often have you become easily annoyed or irritable?,How frequently do you experience panic attacks?,"On average, how many hours per day do you spend on social media?",How many alcoholic drinks/beer do you consume in a typical week?,How many hours of sleep do you usually get on a typical night?,How many hours a day do you put aside for studying?
54,Male,Construction mgt,Post Graduate,Married,First Class,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Occasionally,7-8 hours,5 to 6,5-6 hours,3-4 hours
18,Male,Computer sciences,Second Year,Single,First Class,Not at all,Occasionally,Occasionally,Frequently,Sometimes,Occasionally,3-4 hours,1 to 2,5-6 hours,1-2 hours
25,Female,Agriculture Economics ,Post Graduate,Single,Second Class Lower,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Never,5-6 hours,0,5-6 hours,3-4 hours
19,Female,Genetics and Biotechnology ,Second Year,Single,First Class,Almost constantly,Frequently,Occasionally,Occasionally,Sometimes,Occasionally,5-6 hours,0,7-8 hours,3-4 hours
25,Male,Mathematics and Computer Science,Fourth Year,Single,Second Class Upper,Frequently,Frequently,Occasionally,Frequently,Sometimes,Frequently,5-6 hours,0,Less than 5 hours,0
20,Male,Computer Engineering ,Fifth Year,Single,Second Class Lower,Frequently,Occasionally,Occasionally,Occasionally,Sometimes,Rarely,7-8 hours,0,5-6 hours,0
20,Male,Computer Science ,Fourth Year,Single,Second Class Upper,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Never,0-2 hours,0,5-6 hours,1-2 hours
25,Male,Computer science ,Fourth Year,Single,First Class,Occasionally,Not at all,Occasionally,Not at all,Never,Never,5-6 hours,0,7-8 hours,1-2 hours
19,Male,Fine arts and design ,First Year,Single,Second Class Lower,Almost constantly,Occasionally,Occasionally,Frequently,Sometimes,Rarely,0-2 hours,0,7-8 hours,1-2 hours
18,Female,Psychology,Second Year,Single,Second Class Lower,Almost constantly,Almost constantly,Almost constantly,Occasionally,Always,Occasionally,5-6 hours,0,7-8 hours,1-2 hours
24,Male,Computer Science ,Fourth Year,Single,First Class,Occasionally,Occasionally,Occasionally,Frequently,Always,Occasionally,5-6 hours,3 to 4,5-6 hours,1-2 hours
20,Female,Accounting ,Fourth Year,Single,Second Class Upper,Occasionally,Occasionally,Almost constantly,Occasionally,Sometimes,Rarely,3-4 hours,0,5-6 hours,1-2 hours
28,Male,Science Education ,Fourth Year,Single,Second Class Lower,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Rarely,0-2 hours,0,5-6 hours,1-2 hours
20,Male,Microbiology ,Fourth Year,Single,First Class,Almost constantly,Frequently,Occasionally,Occasionally,Sometimes,Never,5-6 hours,0,Less than 5 hours,5-6 hours
